name,fighter_id,match_type,score
Dmitry Sosnovskiy,1170,exact,100
Dokonjonosuke Mishima,1171,exact,100
Dom Mar Fan,1172,exact,100
Domingo Pilarte,1173,exact,100
Dominic Waters,1176,exact,100
Dominick Cruz,1177,exact,100
Dominick Reyes,1178,exact,100
Dominique Steele,1180,exact,100
Don Frye,1182,exact,100
Don Madge,1183,exact,100
Don Shainis,1184,exact,100
Don'Tale Mayes,1185,exact,100
Donald Cerrone,1186,exact,100
Dong Hyun Kim,1191,exact,100
Dong Hyun Ma,1192,exact,100
DongHun Choi,1194,exact,100
Dongi Yang,1196,exact,100
Donnie Chappell,1197,exact,100
Donny Walker,1199,exact,100
Donte Johnson,1201,exact,100
Dooho Choi,1202,exact,100
Dorian Price,1203,exact,100
Doug Evans,1206,exact,100
Douglas Silva de Andrade,1210,exact,100
Drakkar Klose,1211,exact,100
Drako Rodriguez,1212,exact,100
Drew Dober,1215,exact,100
Drew Fickett,1216,exact,100
Drew McFedries,1217,exact,100
Dricus Du Plessis,1219,exact,100
Duane Ludwig,1220,exact,100
Duda Santana,1221,exact,100
Dusko Todorovic,1222,exact,100
Dustin Hazelett,1223,exact,100
Dustin Jacoby,1224,exact,100
Dustin Kimura,1226,exact,100
Dustin Neace,1228,exact,100
Dustin Ortiz,1229,exact,100
Dustin Pague,1230,exact,100
Dustin Poirier,1231,exact,100
Dustin Stoltzfus,1232,exact,100
Dwayne Cason,1234,exact,100
Dwight Grant,1235,exact,100
Dylan Andrews,1237,exact,100
Dylan Budka,1238,exact,100
Ebenezer Fontes Braga,1243,exact,100
Ed Herman,1244,exact,100
Eddie Alvarez,1246,exact,100
Eddie Gordon,1247,exact,100
Eddie Mendez,1248,exact,100
Eddie Ruiz,1249,exact,100
Eddie Sanchez,1250,exact,100
Eddie Wineland,1251,exact,100
Eddie Yagin,1252,exact,100
Edgar Chairez,1256,exact,100
Edgar Garcia,1257,exact,100
Edilberto de Oliveira,1258,exact,100
Edimilson Souza,1259,exact,100
Edmen Shahbazyan,1261,exact,100
Ednaldo Oliveira,1262,exact,100
Edson Barboza,1263,exact,100
Eduarda Moura,1268,exact,100
Eduardo Garagorri,1272,exact,100
Edward Faaloloto,1276,exact,100
Edwin DeWees,1278,exact,100
Edwin Figueroa,1279,exact,100
Efrain Escudero,1280,exact,100
Eiji Mitsuoka,1284,exact,100
Eldo Xavier Dias,1287,exact,100
Elias Garcia,1290,exact,100
Elias Silverio,1291,exact,100
Elias Theodorou,1292,exact,100
Elijah Smith,1295,exact,100
Eliot Marshall,1296,exact,100
Elise Reed,1297,exact,100
Elisha Ellison,1298,exact,100
Elizabeth Phillips,1300,exact,100
Elizeu Zaleski dos Santos,1301,exact,100
Elves Brener,1302,exact,100
Elvis Mutapcic,1303,exact,100
Elvis Sinosic,1304,exact,100
Emil Meek,1306,exact,100
Emily Ducote,1311,exact,100
Emily Kagan,1313,exact,100
Emily Whitmire,1314,exact,100
Emmanuel Yarborough,1316,exact,100
Enrique Barzola,1318,exact,100
Enrique Marin,1319,exact,100
Enson Inoue,1321,exact,100
Eric Martin,1332,exact,100
Eric McConico,1333,exact,100
Eric Nolan,1334,exact,100
Eric Schafer,1335,exact,100
Eric Shelton,1338,exact,100
Eric Spicely,1340,exact,100
Eric Wisely,1342,exact,100
Erick Gonzalez,1344,exact,100
Erick Montano,1345,exact,100
Erick Silva,1347,exact,100
Ericka Almeida,1349,exact,100
Erik Koch,1351,exact,100
Erik Perez,1352,exact,100
Erik Silva,1353,exact,100
Erin Blanchfield,1354,exact,100
Ernest Chavez,1356,exact,100
Ernesta Kareckaite,1357,exact,100
Ernie Verdicia,1359,exact,100
Eryk Anders,1362,exact,100
Esteban Ribovics,1363,exact,100
Estevan Payan,1365,exact,100
Ethyn Ewing,1366,exact,100
Eugene Jackson,1367,exact,100
Eugenio Tadeu,1368,exact,100
Evan Dunham,1370,exact,100
Evan Elder,1371,exact,100
Evan Tanner,1373,exact,100
Fabiano Iha,1379,exact,100
Fabiano Scherner,1380,exact,100
Fabio Cherant,1382,exact,100
Fabio Gurgel,1383,exact,100
Fabio Maldonado,1384,exact,100
Fabricio Camoes,1389,exact,100
Fabricio Werdum,1391,exact,100
Falaniko Vitale,1392,exact,100
Fares Ziam,1393,exact,100
Farid Basharat,1394,exact,100
Fatima Kline,1397,exact,100
Felice Herrig,1402,exact,100
Felicia Spencer,1403,exact,100
Felipe Arantes,1404,exact,100
Felipe Bunes,1405,exact,100
Felipe Colares,1406,exact,100
Felipe Franco,1407,exact,100
Felipe Lima,1408,exact,100
Felipe Olivieri,1409,exact,100
Felipe Silva,1412,exact,100
Felipe dos Santos,1413,exact,100
Felix Lee Mitchell,1415,exact,100
Feng Xiaocan,1418,exact,100
Fernando Bruno,1420,exact,100
Fernando Padilla,1422,exact,100
Fernie Garcia,1423,exact,100
Filip Pejic,1424,exact,100
Flavio Luiz Moura,1426,exact,100
Floyd Sword,1427,exact,100
Forrest Griffin,1428,exact,100
Forrest Petz,1429,exact,100
Francesco Maturi,1430,exact,100
Francimar Barroso,1432,exact,100
Francis Carmont,1433,exact,100
Francis Marshall,1434,exact,100
Francis Ngannou,1435,exact,100
Francisco Figueiredo,1437,exact,100
Francisco Prado,1439,exact,100
Francisco Rivera,1440,exact,100
Francisco Trevino,1441,exact,100
